,Date,Ticker,Action,Quantity,Price
0,2010-05-26 00:00:00-04:00,AAPL,BUY,1359,7.35422420501709
1,2010-08-24 00:00:00-04:00,AAPL,SELL,1359,7.228294849395752
2,2010-08-27 00:00:00-04:00,AMZN,BUY,1552,6.331999778747559
3,2010-10-01 00:00:00-04:00,NVDA,BUY,6,0.2602228820323944
4,2011-03-15 00:00:00-04:00,AMZN,SELL,1552,8.253999710083008
5,2011-03-31 00:00:00-04:00,NVDA,SELL,6,0.4232347905635834
6,2011-04-18 00:00:00-04:00,AMZN,BUY,1436,8.916999816894531
7,2011-04-26 00:00:00-04:00,TSLA,BUY,4,1.7953330278396606
8,2011-08-11 00:00:00-04:00,TSLA,SELL,4,1.6866669654846191
9,2011-08-26 00:00:00-04:00,AMZN,SELL,1436,9.963500022888184
10,2011-09-07 00:00:00-04:00,AMZN,BUY,1301,10.994999885559082
11,2011-10-21 00:00:00-04:00,TSLA,BUY,5,1.8686670064926147
12,2011-10-28 00:00:00-04:00,NVDA,BUY,3,0.35766324400901794
13,2011-11-18 00:00:00-05:00,AMZN,SELL,1301,9.857000350952148
14,2011-12-23 00:00:00-05:00,AAPL,BUY,1055,12.150994300842285
15,2012-01-04 00:00:00-05:00,NVDA,SELL,3,0.32556527853012085
16,2012-01-12 00:00:00-05:00,TSLA,SELL,5,1.8833329677581787
17,2012-02-01 00:00:00-05:00,NVDA,BUY,44,0.3423020541667938
18,2012-03-26 00:00:00-04:00,NVDA,SELL,44,0.3374873399734497
19,2012-03-29 00:00:00-04:00,AMZN,BUY,1,10.230500221252441
20,2012-08-09 00:00:00-04:00,NVDA,BUY,14,0.33725807070732117
21,2012-10-12 00:00:00-04:00,NVDA,SELL,14,0.28956958651542664
22,2012-11-02 00:00:00-04:00,AAPL,SELL,1055,17.451683044433594
23,2012-11-07 00:00:00-05:00,AMZN,SELL,1,11.602999687194824
24,2012-11-19 00:00:00-05:00,TSLA,BUY,8396,2.194667100906372
25,2013-02-20 00:00:00-05:00,NVDA,BUY,3,0.28566911816596985
26,2013-11-19 00:00:00-05:00,TSLA,SELL,8396,8.406000137329102
27,2014-01-27 00:00:00-05:00,TSLA,BUY,6241,11.307999610900879
28,2014-05-20 00:00:00-04:00,TSLA,SELL,6241,13.020000457763672
29,2014-06-06 00:00:00-04:00,NFLX,BUY,1322,61.4471435546875
30,2014-06-19 00:00:00-04:00,TSLA,BUY,1,15.185999870300293
31,2014-08-01 00:00:00-04:00,NVDA,SELL,3,0.4209294021129608
32,2014-08-27 00:00:00-04:00,NVDA,BUY,31,0.4595974087715149
33,2014-10-08 00:00:00-04:00,NVDA,SELL,31,0.4364144504070282
34,2014-10-16 00:00:00-04:00,NFLX,SELL,1322,51.67142868041992
35,2014-10-23 00:00:00-04:00,TSLA,SELL,1,15.685999870300293
36,2014-11-10 00:00:00-05:00,NVDA,BUY,142825,0.4784785807132721
37,2015-06-01 00:00:00-04:00,NVDA,SELL,142825,0.5417101979255676
38,2015-06-22 00:00:00-04:00,NVDA,BUY,146759,0.5271873474121094
39,2015-06-24 00:00:00-04:00,NVDA,SELL,146759,0.5085495114326477
40,2015-07-15 00:00:00-04:00,GOOGL,BUY,2565,29.09253692626953
41,2015-08-18 00:00:00-04:00,NVDA,BUY,22,0.5610042810440063
42,2016-02-03 00:00:00-05:00,NVDA,SELL,22,0.6880589723587036
43,2016-02-11 00:00:00-05:00,GOOGL,SELL,2565,35.190433502197266
44,2016-03-09 00:00:00-05:00,NVDA,BUY,116187,0.7770087122917175
45,2017-04-18 00:00:00-04:00,NVDA,SELL,116187,2.448976755142212
46,2017-04-27 00:00:00-04:00,INTC,BUY,9245,30.7755184173584
47,2017-05-12 00:00:00-04:00,NVDA,BUY,6,3.154393196105957
48,2017-06-23 00:00:00-04:00,INTC,SELL,9245,28.320669174194336
49,2017-07-14 00:00:00-04:00,AAPL,BUY,7523,34.7995719909668
50,2017-09-19 00:00:00-04:00,CSCO,BUY,1,26.015859603881836
51,2018-02-15 00:00:00-05:00,AAPL,SELL,7523,40.86199188232422
52,2018-03-05 00:00:00-05:00,AAPL,BUY,7360,41.766693115234375
53,2018-04-11 00:00:00-04:00,AAPL,SELL,7360,40.732086181640625
54,2018-05-07 00:00:00-04:00,AAPL,BUY,6854,43.7366828918457
55,2018-07-02 00:00:00-04:00,CSCO,SELL,1,35.11357879638672
56,2018-08-17 00:00:00-04:00,CSCO,BUY,1,37.916683197021484
57,2018-10-23 00:00:00-04:00,NVDA,SELL,6,5.476539134979248
58,2018-11-09 00:00:00-05:00,TSLA,BUY,2,23.367332458496094
59,2018-11-15 00:00:00-05:00,AAPL,SELL,6854,45.705448150634766
60,2018-11-27 00:00:00-05:00,INTC,BUY,7572,41.37006378173828
61,2018-12-24 00:00:00-05:00,CSCO,SELL,1,33.52104187011719
62,2019-01-03 00:00:00-05:00,INTC,SELL,7572,38.28904342651367
63,2019-01-09 00:00:00-05:00,INTC,BUY,7018,41.318416595458984
64,2019-02-06 00:00:00-05:00,TSLA,SELL,2,21.148000717163086
65,2019-02-07 00:00:00-05:00,CSCO,BUY,1,39.16468811035156
66,2019-05-17 00:00:00-04:00,INTC,SELL,7018,39.11627197265625
67,2019-06-19 00:00:00-04:00,AAPL,BUY,5763,47.63334655761719
68,2019-07-25 00:00:00-04:00,NVDA,BUY,2,4.308956146240234
69,2019-08-12 00:00:00-04:00,NVDA,SELL,2,3.763937473297119
70,2019-08-14 00:00:00-04:00,CSCO,SELL,1,42.9820671081543
71,2019-09-05 00:00:00-04:00,NVDA,BUY,11,4.471442699432373
